report_date,pod_id,pod_name,population,distance_from_hub_km,peacock_disruption,water_stock_l,food_stock_kg,medicine_stock_units,water_consumption_lpd,food_consumption_kgpd,medicine_consumption_upd,delivery_resource,delivery_amount,water_runway_days,food_runway_days,medicine_runway_days,water_status,food_status,medicine_status,overall_status,requested_assistance,report_source
2026-07-01,Pod 4,Orca Pod 4,55,11.5,major,10489.5,4107.2,125.3,1010.5,92.8,4.74,none,0.0,10.4,44.2,26.4,stable,stable,stable,stable,False,elder_report
2026-07-02,Pod 4,Orca Pod 4,55,11.5,major,,,,,,,none,0.0,,,,stable,stable,stable,stable,False,elder_report
2026-07-03,Pod 4,Orca Pod 4,55,11.5,none,,,,,,,none,0.0,,,,stable,stable,stable,stable,False,elder_report
2026-07-04,Pod 4,Orca Pod 4,55,11.5,minor,7700.3,3616.8,110.1,684.8,65.9,2.28,none,0.0,10.6,54.9,34.6,stable,stable,stable,stable,False,scout_drone_scan
2026-07-05,Pod 4,Orca Pod 4,55,11.5,major,,,,,,,none,0.0,,,,warning,stable,stable,warning,True,elder_report
2026-07-06,Pod 4,Orca Pod 4,55,11.5,none,6201.4,3573.6,105.4,785.8,56.8,1.75,none,0.0,7.9,53.5,34.3,warning,stable,stable,warning,True,scout_drone_scan
2026-07-07,Pod 4,Orca Pod 4,55,11.5,major,,,,,,,none,0.0,,,,warning,stable,stable,warning,True,elder_report
2026-07-08,Pod 4,Orca Pod 4,55,11.5,minor,4856.6,3632.0,103.8,765.1,67.7,2.54,none,0.0,6.0,53.5,33.9,warning,stable,stable,warning,True,elder_report
2026-07-09,Pod 4,Orca Pod 4,55,11.5,none,4237.9,3587.2,102.4,618.7,44.8,1.41,none,0.0,5.5,55.6,39.5,warning,stable,stable,warning,False,elder_report
2026-07-10,Pod 4,Orca Pod 4,55,11.5,none,3590.9,3536.7,100.8,647.1,50.5,1.64,none,0.0,4.6,55.7,39.1,critical,stable,stable,critical,False,elder_report
2026-07-11,Pod 4,Orca Pod 4,55,11.5,none,,,,,,,none,0.0,,,,critical,stable,stable,critical,False,elder_report
2026-07-12,Pod 4,Orca Pod 4,55,11.5,major,1945.3,3404.3,95.2,956.1,78.4,3.78,none,0.0,2.5,55.5,38.7,critical,stable,stable,critical,False,elder_report
2026-07-13,Pod 4,Orca Pod 4,55,11.5,major,1066.6,3325.2,89.8,878.7,79.1,5.4,none,0.0,1.4,51.6,30.1,critical,stable,stable,critical,False,elder_report
2026-07-14,Pod 4,Orca Pod 4,55,11.5,minor,182.0,3257.7,86.8,884.6,67.5,2.94,none,0.0,0.2,51.6,31.1,failed,stable,stable,failed,False,elder_report
2026-07-15,Pod 4,Orca Pod 4,55,11.5,major,,,,,,,none,0.0,,,,failed,stable,stable,failed,False,scout_drone_scan
2026-07-16,Pod 4,Orca Pod 4,55,11.5,minor,,,,,,,none,0.0,,,,failed,stable,stable,failed,False,scout_drone_scan
2026-07-17,Pod 4,Orca Pod 4,55,11.5,major,0.0,3022.3,75.7,888.6,79.8,4.41,none,0.0,0.0,41.1,21.1,failed,stable,stable,failed,False,elder_report
2026-07-18,Pod 4,Orca Pod 4,55,11.5,major,,,,,,,none,0.0,,,,failed,stable,stable,failed,False,scout_drone_scan
2026-07-19,Pod 4,Orca Pod 4,55,11.5,none,0.0,2901.3,68.8,678.0,47.2,1.67,none,0.0,0.0,40.4,18.3,failed,stable,stable,failed,False,elder_report
2026-07-20,Pod 4,Orca Pod 4,55,11.5,major,,,,,,,none,0.0,,,,failed,stable,stable,failed,False,elder_report
2026-07-21,Pod 4,Orca Pod 4,55,11.5,none,0.0,2591.1,58.8,602.3,56.7,1.66,water,393.6,0.0,38.5,17.8,failed,stable,stable,failed,False,scout_drone_scan
2026-07-22,Pod 4,Orca Pod 4,55,11.5,minor,,,,,,,none,0.0,,,,failed,stable,stable,failed,False,elder_report
2026-07-23,Pod 4,Orca Pod 4,55,11.5,minor,0.0,2625.6,57.0,678.8,65.4,3.03,none,0.0,0.0,38.6,17.2,failed,stable,stable,failed,False,elder_report
2026-07-24,Pod 4,Orca Pod 4,55,11.5,none,0.0,2575.3,55.2,615.4,50.2,1.74,none,0.0,0.0,40.3,18.9,failed,stable,stable,failed,False,elder_report
2026-07-25,Pod 4,Orca Pod 4,55,11.5,minor,,,,,,,none,0.0,,,,failed,stable,stable,failed,False,elder_report
2026-07-26,Pod 4,Orca Pod 4,55,11.5,major,0.0,2299.0,45.8,976.4,76.5,4.18,none,0.0,0.0,37.0,16.8,failed,stable,stable,failed,False,scout_drone_scan
2026-07-27,Pod 4,Orca Pod 4,55,11.5,none,0.0,2389.5,47.4,735.9,49.9,1.13,none,0.0,0.0,39.5,20.0,failed,stable,stable,failed,False,elder_report
2026-07-28,Pod 4,Orca Pod 4,55,11.5,none,0.0,2163.1,43.5,653.8,60.3,0.99,none,0.0,0.0,38.2,20.4,failed,stable,stable,failed,False,scout_drone_scan
2026-07-29,Pod 4,Orca Pod 4,55,11.5,major,0.0,2240.3,40.5,932.0,88.9,5.89,none,0.0,0.0,34.8,14.6,failed,stable,stable,failed,False,elder_report
2026-07-30,Pod 4,Orca Pod 4,55,11.5,none,0.0,2185.7,38.8,752.6,54.6,1.68,none,0.0,0.0,34.8,15.0,failed,stable,stable,failed,False,elder_report
