report_date,pod_id,pod_name,population,distance_from_hub_km,peacock_disruption,water_stock_l,food_stock_kg,medicine_stock_units,water_consumption_lpd,food_consumption_kgpd,medicine_consumption_upd,delivery_resource,delivery_amount,water_runway_days,food_runway_days,medicine_runway_days,water_status,food_status,medicine_status,overall_status,requested_assistance,report_source
2026-07-01,Pod 2,Orca Pod 2,90,5.8,major,12453.4,4876.8,5992.7,1546.6,123.2,7.31,none,0.0,8.1,39.6,820.2,warning,stable,stable,warning,True,elder_report
2026-07-02,Pod 2,Orca Pod 2,90,5.8,none,11365.5,4785.1,5989.0,1087.8,91.6,3.72,none,0.0,8.6,44.5,,warning,stable,stable,warning,True,elder_report
2026-07-03,Pod 2,Orca Pod 2,90,5.8,minor,10221.3,4682.2,5984.4,1144.3,102.9,4.52,none,0.0,8.1,44.2,,warning,stable,stable,warning,True,elder_report
2026-07-04,Pod 2,Orca Pod 2,90,5.8,minor,8801.3,4276.9,5569.5,1073.4,106.6,3.63,none,0.0,7.5,43.1,,warning,stable,stable,warning,True,scout_drone_scan
2026-07-05,Pod 2,Orca Pod 2,90,5.8,major,7765.7,4422.9,5974.7,1382.2,152.7,6.1,none,0.0,6.2,38.3,,warning,stable,stable,warning,True,elder_report
2026-07-06,Pod 2,Orca Pod 2,90,5.8,none,8793.5,4335.6,5971.9,978.8,87.3,2.84,water,2006.6,7.3,39.2,,warning,stable,stable,warning,True,elder_report
2026-07-07,Pod 2,Orca Pod 2,90,5.8,none,7746.0,4246.5,5969.7,1047.5,89.0,2.14,none,0.0,6.6,39.5,,warning,stable,stable,warning,True,elder_report
2026-07-08,Pod 2,Orca Pod 2,90,5.8,none,6714.0,4153.1,5966.6,1032.0,93.4,3.11,none,0.0,6.1,40.2,,warning,stable,stable,warning,True,elder_report
2026-07-09,Pod 2,Orca Pod 2,90,5.8,none,5634.0,4068.3,5963.8,1080.0,84.8,2.83,none,0.0,5.1,39.7,,warning,stable,stable,warning,True,elder_report
2026-07-10,Pod 2,Orca Pod 2,90,5.8,none,4418.0,3975.5,5961.4,1215.9,92.8,2.39,none,0.0,4.0,39.4,,critical,stable,stable,critical,True,elder_report
2026-07-11,Pod 2,Orca Pod 2,90,5.8,none,3025.7,3660.9,5619.5,1182.9,91.9,2.89,medicine,16.4,2.9,39.3,,critical,stable,stable,critical,True,scout_drone_scan
2026-07-12,Pod 2,Orca Pod 2,90,5.8,none,2176.9,3792.5,5971.6,1058.2,91.1,3.3,none,0.0,2.0,42.1,,critical,stable,stable,critical,True,elder_report
2026-07-13,Pod 2,Orca Pod 2,90,5.8,minor,850.2,3687.8,5968.4,1326.7,104.8,3.18,none,0.0,0.7,39.8,,failed,stable,stable,failed,True,elder_report
2026-07-14,Pod 2,Orca Pod 2,90,5.8,none,0.0,3600.1,5965.7,1154.6,87.6,2.68,none,0.0,0.0,39.0,,failed,stable,stable,failed,True,elder_report
2026-07-15,Pod 2,Orca Pod 2,90,5.8,major,0.0,3451.5,5956.8,1639.0,148.6,8.9,none,0.0,0.0,34.4,,failed,stable,stable,failed,True,elder_report
2026-07-16,Pod 2,Orca Pod 2,90,5.8,minor,0.0,3346.1,5952.5,1381.8,105.4,4.36,none,0.0,0.0,32.4,,failed,stable,stable,failed,True,elder_report
2026-07-17,Pod 2,Orca Pod 2,90,5.8,minor,0.0,3228.0,5947.7,1276.2,118.1,4.81,none,0.0,0.0,30.2,,failed,stable,stable,failed,True,elder_report
2026-07-18,Pod 2,Orca Pod 2,90,5.8,major,0.0,3109.7,5940.7,1557.6,118.3,6.97,none,0.0,0.0,28.1,,failed,stable,stable,failed,True,elder_report
2026-07-19,Pod 2,Orca Pod 2,90,5.8,minor,0.0,3001.4,5937.2,1190.9,108.3,3.53,none,0.0,0.0,26.6,,failed,stable,stable,failed,True,elder_report
2026-07-20,Pod 2,Orca Pod 2,90,5.8,none,0.0,2907.1,5935.4,1179.8,94.4,1.77,none,0.0,0.0,26.1,,failed,stable,stable,failed,True,elder_report
2026-07-21,Pod 2,Orca Pod 2,90,5.8,minor,0.0,2816.9,5931.4,1463.6,90.2,3.94,none,0.0,0.0,25.2,,failed,stable,stable,failed,True,elder_report
2026-07-22,Pod 2,Orca Pod 2,90,5.8,minor,0.0,2713.8,5926.6,1383.8,103.1,4.85,none,0.0,0.0,25.8,,failed,stable,stable,failed,True,elder_report
2026-07-23,Pod 2,Orca Pod 2,90,5.8,minor,0.0,2613.3,5922.4,1324.0,100.5,4.22,none,0.0,0.0,25.0,,failed,stable,stable,failed,True,elder_report
2026-07-24,Pod 2,Orca Pod 2,90,5.8,major,0.0,2484.1,5913.1,1433.4,129.2,9.24,none,0.0,0.0,23.4,,failed,stable,stable,failed,True,elder_report
2026-07-25,Pod 2,Orca Pod 2,90,5.8,minor,0.0,2376.0,5908.0,1383.5,108.1,5.18,none,0.0,0.0,22.7,,failed,stable,stable,failed,True,elder_report
2026-07-26,Pod 2,Orca Pod 2,90,5.8,none,0.0,2287.5,5919.7,1281.1,88.5,1.89,medicine,13.6,0.0,22.4,,failed,stable,stable,failed,True,elder_report
2026-07-27,Pod 2,Orca Pod 2,90,5.8,minor,0.0,2193.3,5915.9,1166.2,94.2,3.81,none,0.0,0.0,21.5,,failed,stable,stable,failed,True,elder_report
2026-07-28,Pod 2,Orca Pod 2,90,5.8,minor,0.0,2105.3,5911.5,1149.5,88.0,4.36,none,0.0,0.0,20.7,,failed,stable,stable,failed,True,elder_report
2026-07-29,Pod 2,Orca Pod 2,90,5.8,none,0.0,2009.8,5908.7,1091.9,95.5,2.79,none,0.0,0.0,20.0,,failed,stable,stable,failed,True,elder_report
2026-07-30,Pod 2,Orca Pod 2,90,5.8,none,,,,,,,none,0.0,,,,failed,stable,stable,failed,True,elder_report
