report_date,pod_id,pod_name,population,distance_from_hub_km,peacock_disruption,water_stock_l,food_stock_kg,medicine_stock_units,water_consumption_lpd,food_consumption_kgpd,medicine_consumption_upd,delivery_resource,delivery_amount,water_runway_days,food_runway_days,medicine_runway_days,water_status,food_status,medicine_status,overall_status,requested_assistance,report_source
2026-07-01,Pod 1,Orca Pod 1,120,3.2,minor,45572.7,1730.7,275.8,1584.2,152.6,6.57,none,0.0,30.6,12.1,44.6,stable,stable,stable,stable,False,scout_drone_scan
2026-07-02,Pod 1,Orca Pod 1,120,3.2,none,46886.2,1726.7,289.2,1529.6,120.6,4.21,none,0.0,30.1,12.6,53.7,stable,stable,stable,stable,False,elder_report
2026-07-03,Pod 1,Orca Pod 1,120,3.2,none,42554.2,1503.9,267.6,1541.2,119.5,3.5,none,0.0,29.2,12.3,60.0,stable,stable,stable,stable,False,scout_drone_scan
2026-07-04,Pod 1,Orca Pod 1,120,3.2,none,43857.4,1483.1,281.0,1487.5,124.1,4.76,none,0.0,28.6,11.5,59.0,stable,stable,stable,stable,False,elder_report
2026-07-05,Pod 1,Orca Pod 1,120,3.2,none,42287.4,1364.2,277.8,1570.1,118.9,3.15,none,0.0,27.4,10.7,62.6,stable,stable,stable,stable,False,elder_report
2026-07-06,Pod 1,Orca Pod 1,120,3.2,minor,38325.5,1143.7,258.6,1566.1,150.3,5.18,none,0.0,26.3,9.3,59.8,stable,warning,stable,warning,True,scout_drone_scan
2026-07-07,Pod 1,Orca Pod 1,120,3.2,none,39273.5,1091.1,268.7,1447.8,122.8,3.94,none,0.0,25.6,8.4,60.1,stable,warning,stable,warning,True,elder_report
2026-07-08,Pod 1,Orca Pod 1,120,3.2,none,37907.1,973.8,264.3,1366.4,117.4,4.41,none,0.0,25.3,7.8,63.5,stable,warning,stable,warning,True,elder_report
2026-07-09,Pod 1,Orca Pod 1,120,3.2,none,36505.7,852.2,260.4,1401.4,121.6,3.92,none,0.0,24.6,6.8,63.2,stable,warning,stable,warning,True,elder_report
2026-07-10,Pod 1,Orca Pod 1,120,3.2,none,32613.8,673.9,242.7,1386.7,128.2,3.5,none,0.0,24.0,5.7,62.3,stable,warning,stable,warning,True,scout_drone_scan
2026-07-11,Pod 1,Orca Pod 1,120,3.2,minor,31221.6,541.4,234.6,1668.9,145.8,6.3,none,0.0,22.5,4.5,57.7,stable,critical,stable,critical,True,scout_drone_scan
2026-07-12,Pod 1,Orca Pod 1,120,3.2,none,32064.1,458.0,246.7,1385.9,120.1,3.86,none,0.0,22.0,3.5,55.5,stable,critical,stable,critical,True,elder_report
2026-07-13,Pod 1,Orca Pod 1,120,3.2,none,30672.8,338.8,244.0,1391.2,119.2,2.69,none,0.0,21.4,2.7,59.7,stable,critical,stable,critical,True,elder_report
2026-07-14,Pod 1,Orca Pod 1,120,3.2,major,26705.4,168.1,218.3,2154.8,161.4,9.51,none,0.0,18.6,1.4,48.0,stable,critical,stable,critical,True,scout_drone_scan
2026-07-15,Pod 1,Orca Pod 1,120,3.2,none,27117.1,49.3,231.8,1400.9,128.1,2.67,none,0.0,17.6,0.4,50.0,stable,failed,stable,failed,True,elder_report
2026-07-16,Pod 1,Orca Pod 1,120,3.2,none,25843.7,0.0,228.5,1273.4,120.7,3.31,none,0.0,17.0,0.0,50.2,stable,failed,stable,failed,True,elder_report
2026-07-17,Pod 1,Orca Pod 1,120,3.2,none,24431.3,0.0,224.8,1412.4,110.2,3.7,none,0.0,16.0,0.0,49.1,stable,failed,stable,failed,True,elder_report
2026-07-18,Pod 1,Orca Pod 1,120,3.2,none,22950.2,0.0,221.9,1481.1,134.0,2.96,none,0.0,15.3,0.0,54.1,stable,failed,stable,failed,True,elder_report
2026-07-19,Pod 1,Orca Pod 1,120,3.2,none,20148.6,0.0,207.1,1281.4,126.1,3.48,none,0.0,14.6,0.0,54.0,stable,failed,stable,failed,True,scout_drone_scan
2026-07-20,Pod 1,Orca Pod 1,120,3.2,none,20181.0,0.0,215.9,1487.7,110.5,2.45,none,0.0,13.5,0.0,53.8,stable,failed,stable,failed,True,elder_report
2026-07-21,Pod 1,Orca Pod 1,120,3.2,none,18811.5,79.6,211.8,1369.5,118.6,4.18,food,198.2,13.6,0.7,65.2,stable,failed,stable,failed,True,elder_report
2026-07-22,Pod 1,Orca Pod 1,120,3.2,none,17339.2,0.0,208.1,1472.3,137.0,3.67,none,0.0,12.4,0.0,61.4,stable,failed,stable,failed,True,elder_report
2026-07-23,Pod 1,Orca Pod 1,120,3.2,none,15184.0,0.0,193.0,1328.8,113.0,4.75,none,0.0,11.4,0.0,56.5,stable,failed,stable,failed,True,scout_drone_scan
2026-07-24,Pod 1,Orca Pod 1,120,3.2,none,14575.1,0.0,199.5,1435.3,113.7,3.84,none,0.0,10.4,0.0,55.2,stable,failed,stable,failed,True,elder_report
2026-07-25,Pod 1,Orca Pod 1,120,3.2,major,11746.3,0.0,178.3,2116.8,196.0,10.32,none,0.0,8.3,0.0,40.5,warning,failed,stable,failed,True,scout_drone_scan
2026-07-26,Pod 1,Orca Pod 1,120,3.2,none,10160.6,0.0,177.6,1489.4,134.7,3.7,none,0.0,7.2,0.0,39.5,warning,failed,stable,failed,True,scout_drone_scan
2026-07-27,Pod 1,Orca Pod 1,120,3.2,none,,,,,,,none,0.0,,,,warning,failed,stable,failed,True,scout_drone_scan
2026-07-28,Pod 1,Orca Pod 1,120,3.2,none,7910.0,0.0,179.9,1450.4,126.2,2.49,none,0.0,5.1,0.0,39.5,warning,failed,stable,failed,True,elder_report
2026-07-29,Pod 1,Orca Pod 1,120,3.2,none,6571.2,0.0,175.8,1338.8,116.8,4.09,none,0.0,4.3,0.0,38.1,critical,failed,stable,failed,True,elder_report
2026-07-30,Pod 1,Orca Pod 1,120,3.2,none,5074.9,0.0,172.4,1496.3,115.4,3.42,none,0.0,3.2,0.0,38.9,critical,failed,stable,failed,True,elder_report
